PLAYER,ROLEXRANK,SG:APPROACH,GIR,AVG PROXIMITY (>50 YARDS),GUR
Nozomi UetakeRounds played 4,-,-,-,-,0%
Kajal MistryRounds played 2,-,-,-,-,0%
Brigitte ThibaultRounds played 2,-,-,-,-,0%
Isabella FierroRounds played 2,-,-,-,-,0%
Minami KatsuRounds played 6,-,-,-,-,0.90%
Momoko OsatoRounds played 4,-,-,-,-,0%
Casandra AlexanderRounds played 4,-,-,-,-,13.9%
Saiki FujitaRounds played 6,-,-,-,-,0.90%
Agathe SauzonRounds played 5,-,-,-,-,19.1%
Ayaka WatanabeRounds played 4,-,-,-,-,0%
Kotone HoriRounds played 8,-,-,-,-,2.80%
Haruka MoritaRounds played 4,-,-,-,-,0%
Virginia Elena CartaRounds played 2,-,-,-,-,19.5%
Savannah De BockRounds played 2,-,-,-,-,0%
Miyu GotoRounds played 4,-,-,-,-,0%
Silvia CavalleriRounds played 4,-,-,52.8%,-,1.40%
Dori CarterRounds played 4,-,-,61.1%,-,0%
Chisato IwaiRounds played 4,-,-,-,-,0%
Seon Woo BaeRounds played 4,-,-,-,-,0%
Hannah MccookRounds played 2,-,-,-,-,5.60%
Lakareber AbeRounds played 2,-,-,-,-,5.60%
Olivia BenzinRounds played 2,-,-,-,-,0%
Erika KikuchiRounds played 4,-,-,-,-,0%
Ayako KimuraRounds played 4,-,-,-,-,0%
Shuri SakumaRounds played 4,-,-,-,-,0%
Mao NozawaRounds played 4,-,-,-,-,0%
Kana MikashimaRounds played 4,-,-,-,-,0%
Lina BoqvistRounds played 4,-,-,-,-,9.70%
Jennifer BoroczRounds played 2,-,-,-,-,0%
Sadena ParksRounds played 2,-,-,-,-,0%
Jessica KarlssonRounds played 7,-,-,-,-,23.0%
Beth AllenRounds played 2,-,-,-,-,5.60%
Rachel HeckRounds played 4,-,-,-,-,5.60%
Lucy LinRounds played 2,-,-,-,-,0%
Jiyai ShinRounds played 4,-,-,-,-,0%
Rachel KuehnRounds played 2,-,-,-,-,0%
Makensie TooleRounds played 2,-,-,-,-,0%
Vanessa ZhangRounds played 2,-,-,-,-,2.80%
Yeji KwonRounds played 2,-,-,-,-,0%
Whitney HillierRounds played 8,-,-,-,-,11.8%
Sakura YokomineRounds played 2,-,-,-,-,0%
Min-G KimRounds played 2,-,-,-,-,0%
Laura BeveridgeRounds played 2,-,-,-,-,19.5%
Maria HernandezRounds played 6,-,-,-,-,11.1%
Lucie MalchirandRounds played 2,-,-,-,-,11.1%
Alisa RodriguezRounds played 2,-,-,-,-,0%
Yuri YoshidaRounds played 4,-,-,-,-,0%
Nana SuganumaRounds played 4,-,-,-,-,0%
Pei-Ying TsaiRounds played 4,-,-,-,-,0%
Min Song HaRounds played 2,-,-,-,-,0%
Mi Jeong JeonRounds played 4,-,-,-,-,0%
Jenny Suh ThompsonRounds played 2,-,-,-,-,0%
Julia EngstromRounds played 4,-,-,-,-,9.70%
